SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
60.3,40,-1,2.12,2.05,1.86,1.82
49.2,40,-0.25,1.75,1.73,2.23,2.18
82.5,80.5,-0.25,2.08,2.02,1.9,1.85
58.7,64.3,0.25,1.8,1.75,2.21,2.14
67.2,88.1,0.25,2.12,2.06,1.86,1.81
54.7,77.6,0.75,1.68,1.65,2.4,2.31
57.3,49.2,-0.5,2,1.94,1.98,1.92
40,90,1,1.9,1.83,2.12,2.03
52,60.3,0,1.93,1.89,2.02,1.97
50.2,82.5,1,2.08,2.03,1.88,1.83
64.3,62,-1,2.08,2,1.91,1.86
78.5,57.1,-1,2.42,2.28,1.89,1.66
67.2,64.3,0.25,1.81,1.76,2.22,2.13
60,80.5,0.25,1.71,1.67,2.35,2.26
49.2,50.2,-1,2.34,2.22,1.74,1.7
58.7,52,-0.25,2.08,2.03,1.9,1.84
54.7,40,-0.25,1.96,1.91,2.03,1.95
90,77.6,-0.5,1.87,1.83,2.12,2.04
62,40,-0.25,1.93,1.81,2.14,2.06
60.3,88.1,0.25,1.64,1.6,2.47,2.4
82.5,57.3,-1,1.96,1.88,2.04,1.98
80.5,58.7,-1.25,1.85,1.81,2.11,2.07
50.2,78.5,1,1.89,1.82,2.11,2.05
57.3,90,0.5,1.87,1.82,2.11,2.06
88.1,82.5,0,1.81,1.77,2.18,2.1
40,62,-0.25,1.9,1.87,2.07,2
52,49.2,-0.25,1.88,1.85,2.07,2.02
40,54.7,-0.5,2.12,2.07,1.85,1.81
57.1,67.2,-0.5,1.98,1.94,1.96,1.92
64.3,60.3,-0.25,1.94,1.89,2.02,1.97
77.6,60,-0.5,2.11,2.05,1.87,1.83
50.2,57.3,0.25,2.08,2.02,1.88,1.84
67.2,40,-0.5,2.13,2.06,1.86,1.81
90,54.7,-1.5,2.03,1.98,1.92,1.88
60.3,62,-1,2.04,1.99,1.91,1.87
49.2,78.5,0.5,1.85,1.82,2.09,2.05
58.7,60,0.25,2,1.95,1.96,1.91
57.1,80.5,0.5,1.95,1.9,2,1.96
88.1,52,-1,2.1,2.04,1.86,1.83
40,64.3,0.25,2.04,1.99,1.92,1.87
82.5,77.6,-0.5,1.95,1.89,2.02,1.97
67.2,60,0.25,1.78,1.73,2.23,2.15
78.5,90,0,1.98,1.93,1.97,1.92
60,60.3,-0.25,2.29,2.19,1.73,1.7
77.6,50.2,-1.75,2.03,1.96,1.95,1.9
62,49.2,-0.25,1.98,1.94,1.97,1.93
40,40,-0.25,2.04,1.99,1.92,1.87
54.7,58.7,-0.25,2.03,1.98,1.92,1.88
80.5,67.2,-1.5,2.02,1.97,1.93,1.88
57.3,88.1,0.25,2.1,2.01,1.88,1.85
64.3,57.1,-0.5,1.95,1.9,2.02,1.96
52,82.5,0.75,1.86,1.81,2.12,2.05
62,90,1,1.99,1.93,1.98,1.93
88.1,60,-0.75,1.91,1.86,2.06,2
77.6,67.2,-1,1.95,1.91,2.01,1.95
57.1,58.7,-1,1.98,1.94,1.97,1.93
80.5,54.7,-1.75,2.06,2,1.9,1.86
50.2,60.3,1,1.96,1.92,2.02,1.94
57.3,78.5,0.25,1.88,1.84,2.07,2.01
88.1,62,-1,1.98,1.91,2.02,1.95
90,52,-1.5,1.89,1.85,2.06,2.01
64.3,49.2,-0.75,2.01,1.95,1.97,1.9
40,80.5,0.75,1.95,1.9,2,1.95
82.5,54.7,-1.75,1.91,1.86,2.05,1.98
80.5,40,-1.75,2.02,1.97,1.95,1.89
60,57.3,-0.5,2,1.97,1.94,1.89
62,67.2,-0.5,2.03,1.99,1.91,1.87
52,40,-0.25,2.34,2.27,1.7,1.66
58.7,50.2,-0.75,1.98,1.92,1.98,1.93
54.7,57.1,0.5,1.89,1.85,2.05,2.01
77.6,64.3,-0.5,2.07,2.02,1.88,1.84
60.3,90,0,1.96,1.92,1.98,1.93
